#Bait,PreyAccesion,GeneID,HEKScore,JurkatScore,ScoreAverage,Protein Name   (**also co-purified with >1 unrelated membrane proteins),Gene Symbol,Gene Synonyms
NC,Q9Y3F4,11171,0.788,0,0.394,STRAP_HUMAN Serine-threonine kinase receptor-associated protein,STRAP,MAWD; UNRIP
NC,O14974,4659,0.785,0,0.393,MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,MBS
NC,Q9UI47,29119,0.781,0,0.391,CTNA3_HUMAN Catenin alpha-3,CTNNA3,-
NC,Q7Z739,253943,0.781,0,0.391,YTHD3_HUMAN YTH domain family protein 3,YTHDF3,-
NC,Q9UGY1,79159,0.781,0,0.39,NOL12_HUMAN Nucleolar protein 12,NOL12,-
NC,P55769,4809,0.775,0,0.387,NH2L1_HUMAN NHP2-like protein 1,NHP2L1,-
NC,Q9Y3B7,65003,0.771,0,0.386,"RM11_HUMAN 39S ribosomal protein L11, mitochondrial precursor",MRPL11,-
P6,19172951,-,0.989,0.862,0.926,NP_579883 p6_HIV-1,-,-
POL,25121907,-,0.981,0.939,0.96,NP_705927 Reverse Transcriptase RT_HIV-1,-,-
POL,O00303,8665,0.894,0.871,0.882,EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F,EIF3F,EIF3S5
POL,25121906,-,0.926,0.832,0.879,NP_705926 Pr_HIV-1,-,-
POL,O15371,8664,0.939,0.81,0.875,EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D,EIF3D,EIF3S7
POL,Q99613,8663,0.883,0.856,0.869,EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C,EIF3C,EIF3CL; EIF3S8
POL,Q14152,8661,0.888,0.84,0.864,EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A,EIF3A,KIAA0139; EIF3S10
POL,Q9Y262,51386,0.883,0.832,0.857,IF3EI_HUMAN Eukaryotic translation initiation factor 3 subunit E-interacting protein,EIF3L,HSPC021; HSPC025; MSTP005; EIF3S6IP; EIF3EIP
POL,25121908,-,0.804,0.907,0.855,NP_705928 Int_HIV-1,-,-
POL,Q9UBQ5,27335,0.823,0.848,0.836,EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K,EIF3K,PTD001; HSPC029; MSTP001; EIF3S12; ARG134
POL,Q5T4S7,23352,0.841,0.831,0.836,UBR4_HUMAN E3 ubiquitin-protein ligase UBR4,UBR4,ZUBR1; KIAA1307; KIAA0462; RBAF600
POL,Q9H4L5,26031,0.826,0.843,0.835,OSBL3_HUMAN Oxysterol-binding protein-related protein 3,OSBPL3,KIAA0704; OSBP3; ORP3
POL,O15372,8667,0.801,0.868,0.834,EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H,EIF3H,EIF3S3
POL,P60228,3646,0.793,0.845,0.819,EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E,EIF3E,EIF3S6; INT6
POL,P55884,8662,0.822,0.735,0.779,EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B,EIF3B,EIF3S9
POL,Q9Y265,8607,0.7,0.829,0.765,RUVB1_HUMAN RuvB-like 1,RUVBL1,TIP49; INO80H; NMP238; TIP49A
POL,P13667,9601,0.864,0.661,0.762,PDIA4_HUMAN Protein disulfide-isomerase A4 precursor,PDIA4,ERP70; ERP72
POL,Q9UMS0,27247,0.775,0.733,0.754,NFU1_HUMAN NFU1 iron-sulfur cluster scaffold homolog,NFU1,HIRIP5; CGI-33
POL,Q9P2R7,8803,0.69,0.794,0.742,"SUCB1_HUMAN Succinyl-CoA ligase [ADP-forming] beta-chain, mitochondrial precursor",SUCLA2,-
POL,Q15084,10130,0.408,0.82,0.614,PDIA6_HUMAN Protein disulfide-isomerase A6 precursor,PDIA6,ERP5; P5; TXNDC7
POL,P33993,4176,0.412,0.75,0.581,MCM7_HUMAN DNA replication licensing factor MCM7,MCM7,MCM2; CDC47
POL,Q9BRX2,53918,0.316,0.832,0.574,PELO_HUMAN Protein pelota homolog,PELO,CGI-17
POL,Q15293,5954,0.773,0.302,0.538,RCN1_HUMAN Reticulocalbin-1 precursor,RCN1,RCN
POL,Q8N163,57805,0.152,0.874,0.513,K1967_HUMAN Protein KIAA1967,KIAA1967,DBC1
POL,Q2T9J0,219743,0,0.923,0.461,TYSD1_HUMAN Peroxisomal leader peptide-processing protease,TYSND1,-
POL,Q13347,8668,0.904,0,0.452,EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I,EIF3I,TRIP1; EIF3S2
POL,P22830,2235,0,0.848,0.424,"HEMH_HUMAN Ferrochelatase, mitochondrial precursor",FECH,-
POL,P46063,5965,0.846,0,0.423,RECQ1_HUMAN ATP-dependent DNA helicase Q1,RECQL,RECQL1
POL,Q08380,3959,0.843,0,0.421,LG3BP_HUMAN Galectin-3-binding protein precursor,LGALS3BP,M2BP
POL,Q9UGP4,8994,0.836,0,0.418,LIMD1_HUMAN LIM domain-containing protein 1,LIMD1,-
POL,O75821,8666,0.83,0,0.415,EIF3G_Eukaryotic translation initiation factor 3 subunit G,EIF3G,EIF3S4
POL,P07858,1508,0,0.825,0.413,CATB_HUMAN Cathepsin B precursor,CTSB,CPSB
POL,P31350,6241,0,0.824,0.412,RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2,RRM2,RR2
POL,O75475,11168,0,0.825,0.412,PSIP1_PC4 and SFRS1-interacting protein,PSIP1,DFS70; LEDGF; PSIP2
POL,P33991,4173,0,0.818,0.409,MCM4_HUMAN DNA replication licensing factor MCM4,MCM4,CDC21
POL,P62993,2885,0,0.818,0.409,GRB2_HUMAN Growth factor receptor-bound protein 2,GRB2,ASH
POL,P62714,5516,0.803,0,0.402,PP2AB_HUMAN Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,PPP2CB,-
POL,Q14566,4175,0,0.804,0.402,MCM6_HUMAN DNA replication licensing factor MCM6,MCM6,-
POL,Q9UJX6,29882,0,0.799,0.4,APC2_Anaphase-promoting complex subunit 2,ANAPC2,KIAA1406
POL,Q9Y266,10726,0,0.788,0.394,NUDC_HUMAN Nuclear migration protein nudC,NUDC,-
POL,P50213,3419,0,0.773,0.387,"IDH3A_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial precursor",IDH3A,-
POL,P32121,409,0,0.762,0.381,ARRB2_HUMAN Beta-arrestin-2,ARRB2,ARB2; ARR2
PR,Q9H4L5,26031,0.877,0.893,0.885,OSBL3_HUMAN Oxysterol-binding protein-related protein 3,OSBPL3,KIAA0704; OSBP3; ORP3
PR,Q9UGP4,8994,0.938,0.804,0.871,LIMD1_HUMAN LIM domain-containing protein 1,LIMD1,-
PR,O60232,10534,0.92,0.806,0.863,SSA27_HUMAN Sjoegren syndrome/scleroderma autoantigen 1,SSSCA1,-
PR,25121906,-,0.943,0.777,0.86,NP_705926 Pr_HIV-1,-,-
PR,Q92805,2800,0.912,0.786,0.849,GOGA1_HUMAN Golgin subfamily A member 1,GOLGA1,-
PR,Q9UBQ5,27335,0.791,0.875,0.833,EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K,EIF3K,PTD001; HSPC029; MSTP001; EIF3S12; ARG134
PR,Q9NRF9,54107,0.806,0.847,0.826,DPOE3_HUMAN DNA polymerase epsilon subunit 3,POLE3,CHRAC17
PR,Q07864,5426,0.839,0.794,0.816,DPOE1_HUMAN DNA polymerase epsilon catalytic subunit A,POLE,POLE1
PR,P60228,3646,0.763,0.854,0.808,EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E,EIF3E,EIF3S6; INT6
PR,O15371,8664,0.849,0.752,0.801,EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D,EIF3D,EIF3S7
PR,Q14152,8661,0.755,0.816,0.785,EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A,EIF3A,KIAA0139; EIF3S10
PR,Q99613,8663,0.771,0.793,0.782,EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C,EIF3C,EIF3CL; EIF3S8
PR,Q9BTY7,51236,0.723,0.839,0.781,BRP16_HUMAN Brain protein 16,FAM203A,C8orf30A
PR,Q12874,10946,0.723,0.839,0.781,SF3A3_HUMAN Splicing factor 3A subunit 3,SF3A3,SAP61
PR,O95714,8924,0.828,0.725,0.777,HERC2_HUMAN Probable E3 ubiquitin-protein ligase HERC2,HERC2,-
PR,Q8N163,57805,0.768,0.786,0.777,K1967_HUMAN Protein KIAA1967,KIAA1967,DBC1
PR,Q9Y262,51386,0.778,0.764,0.771,IF3EI_HUMAN Eukaryotic translation initiation factor 3 subunit E-interacting protein,EIF3L,HSPC021; HSPC025; MSTP005; EIF3S6IP; EIF3EIP
PR,O15372,8667,0.735,0.804,0.769,EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H,EIF3H,EIF3S3
PR,Q8TF40,96459,0.733,0.78,0.756,FNIP1_HUMAN Folliculin-interacting protein 1,FNIP1,KIAA1961
PR,P32121,409,0.723,0.783,0.753,ARRB2_HUMAN Beta-arrestin-2,ARRB2,ARB2; ARR2
PR,O60610,1729,0.693,0.799,0.746,DIAP1_HUMAN Protein diaphanous homolog 1,DIAPH1,-
PR,Q8NFG4,201163,0.708,0.767,0.738,FLCN_HUMAN Folliculin,FLCN,BHD
PR,P55884,8662,0.758,0.669,0.713,EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B,EIF3B,EIF3S9
PR,Q9UMS0,27247,0.813,0.603,0.708,NFU1_HUMAN NFU1 iron-sulfur cluster scaffold homolog,NFU1,HIRIP5; CGI-33
PR,Q9NR33,56655,0.757,0.647,0.702,DPOE4_HUMAN DNA polymerase epsilon subunit 4,POLE4,-
PR,O00303,8665,0.757,0.597,0.677,EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F,EIF3F,EIF3S5
PR,Q7L2H7,10480,0.794,0.446,0.62,EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M,EIF3M,PNAS-125; PCID1; HFLB5; GA17
PR,Q9HBG6,55764,0,0.905,0.452,IF122_HUMAN Intraflagellar transport 122 homolog,IFT122,WDR10; SPG; WDR140
PR,Q9NZN5,23365,0.889,0,0.444,ARHGC_HUMAN Rho guanine nucleotide exchange factor 12,ARHGEF12,LARG; KIAA0382
PR,Q9BU89,83475,0.882,0,0.441,DOHH_Deoxyhypusine hydroxylase,DOHH,HLRC1
PR,P58107,83481,0.858,0,0.429,EPIPL_HUMAN Epiplakin,EPPK1,-
PR,Q9UHF7,7227,0.853,0,0.426,TRPS1_HUMAN Zinc finger transcription factor Trps1,TRPS1,-
PR,P61758,7411,0.835,0,0.418,PFD3_HUMAN Prefoldin subunit 3,VBP1,PFDN3
PR,Q12948,2296,0.833,0,0.416,FOXC1_HUMAN Forkhead box protein C1,FOXC1,FKHL7; FREAC3
PR,Q8TCU4,7840,0.815,0,0.407,ALMS1_Alstrom syndrome protein 1,ALMS1,KIAA0328
PR,Q9BZF3,114880,0.812,0,0.406,OSBL6_HUMAN Oxysterol-binding protein-related protein 6,OSBPL6,ORP6
PR,P33991,4173,0,0.801,0.401,MCM4_HUMAN DNA replication licensing factor MCM4,MCM4,CDC21
PR,P49591,6301,0.8,0,0.4,"SYSC_HUMAN Seryl-tRNA synthetase, cytoplasmic",SARS,SERS
PR,Q86X55,10498,0,0.8,0.4,CARM1_HUMAN Histone-arginine methyltransferase CARM1,CARM1,PRMT4
PR,Q86US8,23293,0,0.801,0.4,EST1A_HUMAN Telomerase-binding protein EST1A,SMG6,C17orf31; KIAA0732
PR,Q8TB72,23369,0.799,0,0.399,PUM2_HUMAN Pumilio homolog 2,PUM2,KIAA0235; PUMH2
PR,Q9H1A4,64682,0.797,0,0.398,ANC1_Anaphase-promoting complex subunit 1,ANAPC1,TSG24
PR,P43246,4436,0.795,0,0.397,MSH2_HUMAN DNA mismatch repair protein Msh2,MSH2,-
PR,Q9UKK3,143,0.785,0,0.393,PARP4_HUMAN Poly [ADP-ribose] polymerase 4,PARP4,ADPRTL1; KIAA0177; PARPL
PR,Q99996,10142,0,0.787,0.393,AKAP9_HUMAN A-kinase anchor protein 9,AKAP9,KIAA0803; AKAP450; AKAP350
PR,Q99704,1796,0,0.782,0.391,DOK1_Docking protein 1,DOK1,-
PR,Q07820,4170,0.78,0,0.39,MCL1_HUMAN Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,BCL2L3
PR,Q8NFF5,80308,0.78,0,0.39,FAD1_HUMAN FAD synthetase,FLAD1,PP591
PR,P23526,191,0.77,0,0.385,SAHH_HUMAN Adenosylhomocysteinase,AHCY,-
PR,Q8TD16,23299,0,0.771,0.385,BlCD2_Protein bicaudal D homolog 2,BICD2,KIAA0699
PR,Q02790,2288,0.767,0,0.383,FKBP4_HUMAN FK506-binding protein 4,FKBP4,FKBP52
PR,O14976,2580,0.76,0,0.38,GAK_HUMAN Cyclin G-associated kinase,GAK,-
PR,O94916,10725,0.761,0,0.38,NFAT5_HUMAN Nuclear factor of activated T-cells 5,NFAT5,TONEBP; KIAA0827
PR,Q32P44,256364,0.752,0,0.376,EMAL3_HUMAN Echinoderm microtubule-associated protein-like 3,EML3,-
RT,25121907,-,0.974,0.848,0.911,NP_705927 Reverse Transcriptase RT_HIV-1,-,-
RT,P62993,2885,0.861,0.776,0.818,GRB2_HUMAN Growth factor receptor-bound protein 2,GRB2,ASH
RT,O14745,9368,0,0.775,0.388,NHERF_HUMAN Ezrin-radixin-moesin-binding phosphoprotein 50,SLC9A3R1,SLC9A3R1; NHERF1
RT,Q69YN4,25962,0.77,0,0.385,VIR_HUMAN Protein virilizer homolog,KIAA1429,MSTP054
IN,25121908,-,0.92,0.782,0.851,NP_705928 Int_HIV-1,-,-
IN,P12532,548596; 1159,0.873,0,0.436,"KCRU_HUMAN Creatine kinase, ubiquitous mitochondrial precursor",CKMT1A; CKMT1B,CKMT1; CKMT1A; CKMT1B; CKMT; UMTCK; FLJ50967
IN,Q9H3U1,55898,0.851,0,0.426,UN45A_HUMAN UNC45 homolog A,UNC45A,SMAP1
IN,Q02809,5351,0.827,0,0.413,"PLOD1_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor",PLOD1,LLH; PLOD
IN,Q9Y3D0,51647,0.824,0,0.412,FA96B_HUMAN Protein FAM96B,FAM96B,CGI-128; HSPC118
IN,O75155,23066,0.823,0,0.411,CAND2_HUMAN Cullin-associated NEDD8-dissociated protein 2,CAND2,KIAA0667; TIP120B
IN,P22314,7317,0.818,0,0.409,UBA1_HUMAN Ubiquitin-like modifier-activating enzyme 1,UBA1,UBE1; A1S9T
IN,Q7Z4H3,51020,0.815,0,0.408,HDDC2_HUMAN HD domain-containing protein 2,HDDC2,NS5ATP2; CGI-130; C6orf74
IN,Q2T9J0,219743,0.81,0,0.405,TYSD1_HUMAN Peroxisomal leader peptide-processing protease,TYSND1,-
IN,Q9GZS3,80349,0.8,0,0.4,WDR61_HUMAN WD repeat-containing protein 61,WDR61,-
IN,O75475,11168,0,0.797,0.398,PSIP1_PC4 and SFRS1-interacting protein,PSIP1,DFS70; LEDGF; PSIP2
IN,Q9Y263,9373,0.773,0,0.387,PLAP_HUMAN Phospholipase A-2-activating protein,PLAA,-
IN,Q9H583,55127,0.77,0,0.385,HEAT1_HUMAN HEAT repeat-containing protein 1,HEATR1,BAP28
IN,Q9P2R7,8803,0.768,0,0.384,"SUCB1_HUMAN Succinyl-CoA ligase [ADP-forming] beta-chain, mitochondrial precursor",SUCLA2,-
IN,P13667,9601,0.766,0,0.383,PDIA4_HUMAN Protein disulfide-isomerase A4 precursor,PDIA4,ERP70; ERP72
IN,O60518,26953,0.763,0,0.382,RNBP6_HUMAN Ran-binding protein 6,RANBP6,-
IN,P62258,7531,0.764,0,0.382,1433E_HUMAN 14-3-3 protein epsilon,YWHAE,-
IN,O76071,9391,0.765,0,0.382,CIAO1_HUMAN Protein CIAO1,CIAO1,WDR39
IN,P31946,7529,0.762,0,0.381,1433B_HUMAN 14-3-3 protein beta/alpha,YWHAB,-
IN,Q14566,4175,0.759,0,0.38,MCM6_HUMAN DNA replication licensing factor MCM6,MCM6,-
IN,Q8NEW0,148867,0.758,0,0.379,ZNT7_HUMAN Zinc transporter 7,SLC30A7,ZNTL2
IN,Q8TEX9,79711,0.756,0,0.378,IPO4_HUMAN Importin-4,IPO4,IMP4B; RANBP4
IN,O00469,5352,0.754,0,0.377,"PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor",PLOD2,-
IN,P63104,7534,0.755,0,0.377,1433Z_HUMAN 14-3-3 protein zeta/delta,YWHAZ,-
IN,P61981,7532,0.753,0,0.376,1433G_HUMAN 14-3-3 protein gamma,YWHAG,-
IN,P15924,1832,0.751,0,0.375,DESP_HUMAN Desmoplakin,DSP,-
VIF,Q15369,6921,0.956,0.972,0.964,ELOC_HUMAN Transcription elongation factor B polypeptide 1,TCEB1,-
VIF,Q13951,865,0.916,0.975,0.945,PEBB_HUMAN Core-binding factor subunit beta,CBFB,-
VIF,Q15370,6923,0.96,0.928,0.944,ELOB_HUMAN Transcription elongation factor B polypeptide 2,TCEB2,-
VIF,Q9UBF6,9616,0.858,0.952,0.905,RBX2_HUMAN RING-box protein 2,RNF7,SAG; ROC2
VIF,Q9C0C7,55626,0.832,0.915,0.874,AMRA1_HUMAN Activating molecule in BECN1-regulated autophagy protein 1,AMBRA1,DCAF3; WDR94; KIAA1736
VIF,Q93034,8065,0.855,0.889,0.872,CUL5_HUMAN Cullin-5,CUL5,VACM1
VIF,Q13617,8453,0.776,0.897,0.836,CUL2_HUMAN Cullin-2,CUL2,-
VIF,Q99615,7266,0.899,0.488,0.694,DNJC7_HUMAN DnaJ homolog subfamily C member 7,DNAJC7,TPR2; TTC2
VIF,Q13501,8878,0.79,0.49,0.64,SQSTM_HUMAN Sequestosome-1,SQSTM1,ORCA; OSIL
VIF,Q7Z6Z7,10075,0.934,0.324,0.629,HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1,HUWE1,HSPC272; UREB1; KIAA1578; KIAA0312
VIF,Q8IWV8,23304,0.911,0,0.456,UBR2_HUMAN E3 ubiquitin-protein ligase UBR2,UBR2,KIAA0349; C6orf133
VIF,Q9UNE7,10273,0.876,0,0.438,STUB1_HUMAN STIP1 homology and U box-containing protein 1,STUB1,CHIP; PP1131
VIF,P61289,10197,0.842,0,0.421,PSME3_HUMAN Proteasome activator complex subunit 3,PSME3,-
VIF,O75376,9611,0,0.821,0.411,NCOR1_HUMAN Nuclear receptor corepressor 1,NCOR1,KIAA1047
VIF,O15379,8841,0,0.817,0.408,HDAC3_HUMAN Histone deacetylase 3,HDAC3,-
VIF,Q9Y5V3,9500,0,0.808,0.404,MAGD1_HUMAN Melanoma-associated antigen D1,MAGED1,PP2250; PRO2292; NRAGE
VIF,Q9BZK7,79718,0,0.793,0.397,TBL1R_HUMAN F-box-like/WD repeat-containing protein TBL1XR1,TBL1XR1,TBLR1; IRA1
VIF,Q8TEB1,80344,0,0.791,0.396,WDR23_HUMAN WD repeat-containing protein 23,DCAF11,PRO2389; GL014
VIF,Q9ULX6,26993,0.788,0,0.394,AKP8L_HUMAN A-kinase anchor protein 8-like,AKAP8L,NAKAP95; HRIHFB2018; NAKAP
VIF,P46379,7917,0.782,0,0.391,BAT3_HUMAN Large proline-rich protein BAT3,BAG6,G3
VIF,Q13227,2874,0,0.778,0.389,GPS2_G protein pathway suppressor 2,GPS2,-
VIF,P25686,3300,0,0.774,0.387,DNJB2_HUMAN DnaJ homolog subfamily B member 2,DNAJB2,HSPF3; HSJ1
VIF,Q16659,5597,0,0.772,0.386,MK06_HUMAN Mitogen-activated protein kinase 6,MAPK6,ERK3; PRKM6
VIF,P11441,8266,0.766,0,0.383,UBL4A_HUMAN Ubiquitin-like protein 4A,UBL4A,DXS254E; GDX; UBL4
VPR,Q9Y4B6,9730,0.958,0.884,0.921,VPRBP_HUMAN Protein VPRBP,VPRBP,KIAA0800; RIP; DCAF1
VPR,28872817,-,0.898,0.858,0.878,NP_057852 Vpr_HIV-1,-,-
VPR,Q9BW61,79016,0.818,0.909,0.863,DDA1_HUMAN DET1- and DDB1-associated protein 1,DDA1,PCIA1; C19orf58
VPR,Q14204,1778,0.899,0.818,0.858,"DYHC_HUMAN Dynein heavy chain, cytosolic",DYNC1H1,DHC1; DNECL; DNCL; DNCH1; KIAA0325
VPR,Q16576,5931,0.876,0.808,0.842,RBBP7_HUMAN Histone-binding protein RBBP7,RBBP7,RBAP46
VPR,Q8IWZ3,54882,0.885,0.765,0.825,ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1,ANKHD1,MASK; KIAA1085; VBARP; PP2500
VPR,Q16531,1642,0.851,0.789,0.82,DDB1_HUMAN DNA damage-binding protein 1,DDB1,XAP1; XPE; DDBA; XPCE; XPE-BF; UV-DDB1
VPR,Q9H4A6,64083,0.926,0.708,0.817,GOLP3_HUMAN Golgi phosphoprotein 3,GOLPH3,GPP34
VPR,Q13409,1781,0.838,0.792,0.815,DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,DNCI2; DNCIC2
VPR,Q9Y6G9,51143,0.825,0.802,0.813,DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1,DNCLI1
VPR,O75179,26057,0.742,0.879,0.811,ANR17_HUMAN Ankyrin repeat domain-containing protein 17,ANKRD17,GTAR; KIAA0697
VPR,Q5SW79,9859,0.788,0.777,0.782,CE170_Centrosomal protein of 170 kDa,CEP170,KAB; FAM68A; KIAA0470
VPR,O14929,8520,0.906,0.6,0.753,HAT1_HUMAN Histone acetyltransferase type B catalytic subunit,HAT1,KAT1
VPR,P21964,1312,0.775,0.244,0.51,COMT_HUMAN Catechol O-methyltransferase,COMT,-
VPR,P43243,9782,0.933,0,0.467,MATR3_HUMAN Matrin-3,MATR3,KIAA0723
VPR,Q13724,7841,0.884,0,0.442,GCS1_HUMAN Mannosyl-oligosaccharide glucosidase,MOGS,CDG2B
VPR,Q8IZ07,88455,0,0.858,0.429,AN13A_HUMAN Ankyrin repeat domain-containing protein 13A,ANKRD13A,ANKRD13
VPR,O00217,4728,0.855,0,0.428,"NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor",NDUFS8,-
VPR,Q16637,6606; 6607,0,0.847,0.423,SMN_HUMAN Survival motor neuron protein,SMN1; SMN2,SMNT; SMN2; SMNC; SMA; SMA1; SMA2; SMA3; SMA4; BCD541; T-BCD541; SMN1; BCD541; MGC5208; C-BCD541; FLJ76644; MGC20996
VPR,Q2PZI1,23333,0.845,0,0.422,D19L1_HUMAN Protein dpy-19 homolog 1,DPY19L1,GA0500; KIAA0877
VPR,Q8WXD5,79833,0,0.845,0.422,GEMI6_HUMAN Gem-associated protein 6,GEMIN6,-
