Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
[6-5]	6	P63268	ACTH_MOUSE	20	38.8	2.1e-11	41877.3	MOUSE	Actin, gamma-enteric smooth muscle
[6-6]	2	Q8BFZ3	ACTBL_MOUSE	10	25.3	2.1e-11	42004.6	MOUSE	Beta-actin-like protein 2
[7]		P63017	HSP7C_MOUSE	38	47.1	5.9e-11	70871.6	MOUSE	Heat shock cognate 71 kDa protein
[7-1]	24	P20029	GRP78_MOUSE	28	38.2	3.3e-10	72422.6	MOUSE	78 kDa glucose-regulated protein
[7-2]	1	P17156	HSP72_MOUSE	16	14.2	5.9e-11	69642.2	MOUSE	Heat shock-related 70 kDa protein 2
[7-3]	2	P17879	HS71B_MOUSE	5	7.8	3.0e-8	70176.8	MOUSE	Heat shock 70 kDa protein 1B
[7-4]	2	Q61696	HS71A_MOUSE	5	7.8	3.0e-8	70079.7	MOUSE	Heat shock 70 kDa protein 1A
[8]		P11499	HS90B_MOUSE	35	39.6	3.5e-10	83281.9	MOUSE	Heat shock protein HSP 90-beta
[8-1]	12	P07901	HS90A_MOUSE	28	28.8	2.6e-8	84788.6	MOUSE	Heat shock protein HSP 90-alpha
[8-2]	21	P08113	ENPL_MOUSE	22	25.9	3.0e-8	92476.5	MOUSE	Endoplasmin
[8-3]	4	Q9CQN1	TRAP1_MOUSE	5	8.4	4.0e-8	80209.6	MOUSE	Heat shock protein 75 kDa, mitochondrial
[9]		P20152	VIME_MOUSE	27	44.4	8.5e-9	53688.1	MOUSE	Vimentin
[10]		P13864	DNMT1_MOUSE	24	16.6	5.5e-13	183190.5	MOUSE	DNA (cytosine-5)-methyltransferase 1
[11]		Q62261	SPTB2_MOUSE	27	14.0	7.0e-10	274225.4	MOUSE	Spectrin beta chain, non-erythrocytic 1
[11-1]	22	P15508	SPTB1_MOUSE	23	12.1	7.2e-9	245252.3	MOUSE	Spectrin beta chain, erythrocytic
[12]		Q61233	PLSL_MOUSE	26	36.4	4.8e-10	70149.9	MOUSE	Plastin-2
[13]		P16546	SPTN1_MOUSE	33	16.9	1.7e-9	284599.7	MOUSE	Spectrin alpha chain, non-erythrocytic 1
[13-1]	19	P08032	SPTA1_MOUSE	20	10.4	7.6e-10	279867.3	MOUSE	Spectrin alpha chain, erythrocytic 1
[14]		O08692	NGP_MOUSE	22	57.5	1.3e-11	19331.8	MOUSE	Neutrophilic granule protein
[15]		P01027	CO3_MOUSE	25	15.8	2.7e-10	186485.5	MOUSE	Complement C3
[16]		P99024	TBB5_MOUSE	28	56.8	1.9e-8	49671.3	MOUSE	Tubulin beta-5 chain
[16-1]	2	P68372	TBB4B_MOUSE	23	46.7	1.9e-8	49831.5	MOUSE	Tubulin beta-4B chain
[16-2]	1	Q7TMM9	TBB2A_MOUSE	22	42.0	1.9e-8	49907.4	MOUSE	Tubulin beta-2A chain
[16-3]	2	Q9ERD7	TBB3_MOUSE	16	33.3	1.9e-8	50419.1	MOUSE	Tubulin beta-3 chain
[16-4]	1	Q9D6F9	TBB4A_MOUSE	18	37.4	8.6e-8	49586.2	MOUSE	Tubulin beta-4A chain
[16-5]	1	Q922F4	TBB6_MOUSE	8	15.7	1.9e-8	50090.8	MOUSE	Tubulin beta-6 chain
[16-6]	1	A2AQ07	TBB1_MOUSE	3	6.4	3.5e-5	50441.4	MOUSE	Tubulin beta-1 chain
[17]		P17182	ENOA_MOUSE	21	45.2	3.7e-11	47141.2	MOUSE	Alpha-enolase
[17-1]	1	P21550	ENOB_MOUSE	11	22.4	1.0e-9	47025.3	MOUSE	Beta-enolase
[18]		P10107	ANXA1_MOUSE	19	34.4	1.3e-11	38734.6	MOUSE	Annexin A1
[19]		P11835	ITB2_MOUSE	21	24.4	1.0e-14	85026.7	MOUSE	Integrin beta-2
[20]		P57780	ACTN4_MOUSE	26	32.7	4.6e-10	104978.0	MOUSE	Alpha-actinin-4
[20-1]	12	Q7TPR4	ACTN1_MOUSE	22	27.9	1.6e-8	103069.4	MOUSE	Alpha-actinin-1
[20-2]	7	O88990	ACTN3_MOUSE	12	15.3	1.6e-8	103043.6	MOUSE	Alpha-actinin-3
[20-3]	3	Q9JI91	ACTN2_MOUSE	9	10.1	1.6e-8	103834.6	MOUSE	Alpha-actinin-2
[21]		Q01320	TOP2A_MOUSE	25	17.2	4.6e-10	172791.7	MOUSE	DNA topoisomerase 2-alpha
[21-1]	6	Q64511	TOP2B_MOUSE	13	8.4	1.6e-8	181910.4	MOUSE	DNA topoisomerase 2-beta
[22]		Q9JKF1	IQGA1_MOUSE	29	17.8	8.0e-10	188744.0	MOUSE	Ras GTPase-activating-like protein IQGAP1
[22-1]	7	Q3UQ44	IQGA2_MOUSE	8	5.6	5.8e-6	180529.4	MOUSE	Ras GTPase-activating-like protein IQGAP2
[23]		P11247	PERM_MOUSE	24	22.0	1.5e-9	81182.4	MOUSE	Myeloperoxidase
[23-1]	20	P49290	PERE_MOUSE	22	29.2	8.8e-8	81380.8	MOUSE	Eosinophil peroxidase
[24]		P07724	ALBU_MOUSE	16	27.1	1.4e-17	68693.2	MOUSE	Serum albumin
[25]		Q9D0E1	HNRPM_MOUSE	19	25.2	6.5e-13	77649.5	MOUSE	Heterogeneous nuclear ribonucleoprotein M
[26]		P14733	LMNB1_MOUSE	24	35.0	2.3e-8	66786.1	MOUSE	Lamin-B1
[26-1]	20	P48678	LMNA_MOUSE	22	34.3	3.5e-7	74238.2	MOUSE	Prelamin-A/C
[26-2]	18	P48678-2	LMNA_MOUSE	20	34.5	3.5e-7	65446.6	MOUSE	Isoform C of Prelamin-A/C
[26-3]	13	P48678-3	LMNA_MOUSE	15	32.7	3.5e-7	52652.1	MOUSE	Isoform C2 of Prelamin-A/C
[26-4]	11	P21619	LMNB2_MOUSE	13	21.8	6.9e-12	67318.6	MOUSE	Lamin-B2
[26-5]	6	P21619-2	LMNB2_MOUSE	8	15.8	6.9e-12	53268.6	MOUSE	Isoform B3 of Lamin-B2
[27]		P24527	LKHA4_MOUSE	22	38.5	2.8e-11	69051.5	MOUSE	Leukotriene A-4 hydrolase
[28]		Q7TPV4	MBB1A_MOUSE	17	14.6	3.9e-10	152038.3	MOUSE	Myb-binding protein 1A
[29]		P58252	EF2_MOUSE	24	24.0	1.7e-9	95314.9	MOUSE	Elongation factor 2
[29-1]	5	O08810	U5S1_MOUSE	6	7.3	8.5e-7	109361.6	MOUSE	116 kDa U5 small nuclear ribonucleoprotein component
[30]		Q64727	VINC_MOUSE	20	21.4	1.0e-7	116718.4	MOUSE	Vinculin
[31]		P16858	G3P_MOUSE	16	40.2	2.1e-11	35810.3	MOUSE	Glyceraldehyde-3-phosphate dehydrogenase
[32]		O35744	CHIL3_MOUSE	18	32.7	2.4e-10	44458.7	MOUSE	Chitinase-like protein 3
[33]		Q9ET01	PYGL_MOUSE	19	20.2	2.0e-8	97463.9	MOUSE	Glycogen phosphorylase, liver form
[34]		Q78PY7	SND1_MOUSE	14	18.1	2.1e-14	102089.0	MOUSE	Staphylococcal nuclease domain-containing protein 1
[35]		P27773	PDIA3_MOUSE	18	29.5	4.9e-10	56678.8	MOUSE	Protein disulfide-isomerase A3
[36]		Q68FD5	CLH1_MOUSE	21	14.1	4.9e-8	191558.3	MOUSE	Clathrin heavy chain 1
[37]		Q9ERU9	RBP2_MOUSE	16	6.3	3.8e-10	341123.8	MOUSE	E3 SUMO-protein ligase RanBP2
[38]		P29351	PTN6_MOUSE	15	30.1	6.3e-10	67559.5	MOUSE	Tyrosine-protein phosphatase non-receptor type 6
[39]		P62806	H4_MOUSE	15	60.2	5.0e-9	11367.4	MOUSE	Histone H4
[40]		P50580	PA2G4_MOUSE	15	44.4	1.4e-11	43699.2	MOUSE	Proliferation-associated protein 2G4
[41]		Q91ZW3	SMCA5_MOUSE	17	14.9	1.3e-10	121628.1	MOUSE	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
[42]		Q9D154	ILEUA_MOUSE	16	32.5	1.0e-8	42575.3	MOUSE	Leukocyte elastase inhibitor A
[43]		Q8VEK3	HNRPU_MOUSE	15	15.1	2.3e-11	87918.4	MOUSE	Heterogeneous nuclear ribonucleoprotein U
[44]		P31725	S10A9_MOUSE	20	76.1	4.9e-10	13049.0	MOUSE	Protein S100-A9
[45]		P10126	EF1A1_MOUSE	14	38.3	1.0e-10	50114.3	MOUSE	Elongation factor 1-alpha 1
[46]		P09103	PDIA1_MOUSE	19	32.8	4.4e-8	57059.0	MOUSE	Protein disulfide-isomerase
[47]		Q8BG05-2	ROA3_MOUSE	12	29.7	6.6e-16	37086.4	MOUSE	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3
[47-1]	1	Q8BG05	ROA3_MOUSE	12	28.8	6.6e-16	39652.3	MOUSE	Heterogeneous nuclear ribonucleoprotein A3
[48]		P29341	PABP1_MOUSE	17	20.8	7.1e-7	70671.5	MOUSE	Polyadenylate-binding protein 1
[49]		P05213	TBA1B_MOUSE	15	37.3	1.3e-8	50152.1	MOUSE	Tubulin alpha-1B chain
[49-1]	1	P68369	TBA1A_MOUSE	14	34.1	1.3e-8	50136.1	MOUSE	Tubulin alpha-1A chain
[49-2]	1	P68373	TBA1C_MOUSE	14	32.7	1.3e-8	49909.8	MOUSE	Tubulin alpha-1C chain
[49-3]	1	P05214	TBA3_MOUSE	11	24.2	1.3e-8	49960.0	MOUSE	Tubulin alpha-3 chain
[49-4]	2	P68368	TBA4A_MOUSE	12	27.0	1.3e-6	49924.9	MOUSE	Tubulin alpha-4A chain
[49-5]	1	Q9JJZ2	TBA8_MOUSE	9	20.7	1.3e-6	50052.0	MOUSE	Tubulin alpha-8 chain
[50]		O70133	DHX9_MOUSE	17	12.0	1.2e-8	149476.2	MOUSE	ATP-dependent RNA helicase A
[51]		P61979-3	HNRPK_MOUSE	15	28.7	1.3e-10	48510.9	MOUSE	Isoform 3 of Heterogeneous nuclear ribonucleoprotein K
[52]		Q9Z1Q9	SYVC_MOUSE	13	12.0	7.9e-11	140216.7	MOUSE	Valine--tRNA ligase
[53]		Q9JIK5	DDX21_MOUSE	16	19.0	2.3e-12	93551.9	MOUSE	Nucleolar RNA helicase 2
[54]		P62259	1433E_MOUSE	14	39.2	2.8e-8	29174.2	MOUSE	14-3-3 protein epsilon
[54-1]	10	P63101	1433Z_MOUSE	12	41.2	8.1e-10	27771.4	MOUSE	14-3-3 protein zeta/delta
[54-2]	7	P68510	1433F_MOUSE	9	30.9	4.6e-8	28212.0	MOUSE	14-3-3 protein eta
[54-3]	8	Q9CQV8	1433B_MOUSE	10	39.0	1.5e-7	28086.7	MOUSE	14-3-3 protein beta/alpha
[54-4]	7	Q9CQV8-2	1433B_MOUSE	9	34.8	1.5e-7	27854.4	MOUSE	Isoform Short of 14-3-3 protein beta/alpha
[54-5]	5	P68254	1433T_MOUSE	7	22.0	1.5e-8	27778.5	MOUSE	14-3-3 protein theta
[54-6]	5	P68254-2	1433T_MOUSE	7	22.2	1.5e-8	27700.8	MOUSE	Isoform 2 of 14-3-3 protein theta
[54-7]	4	P61982	1433G_MOUSE	6	17.8	2.7e-6	28302.8	MOUSE	14-3-3 protein gamma
[55]		P40124	CAP1_MOUSE	14	23.6	1.5e-15	51565.3	MOUSE	Adenylyl cyclase-associated protein 1
[56]		Q01853	TERA_MOUSE	17	24.9	2.8e-9	89322.6	MOUSE	Transitional endoplasmic reticulum ATPase
[57]		P05555	ITAM_MOUSE	15	14.5	1.6e-8	127481.9	MOUSE	Integrin alpha-M
[58]		F6ZDS4	TPR_MOUSE	18	8.8	4.4e-8	273992.3	MOUSE	Nucleoprotein TPR
[59]		Q61656	DDX5_MOUSE	15	20.8	9.5e-8	69290.8	MOUSE	Probable ATP-dependent RNA helicase DDX5
[59-1]	8	Q501J6	DDX17_MOUSE	12	20.6	5.6e-9	72400.1	MOUSE	Probable ATP-dependent RNA helicase DDX17
[59-2]	6	Q501J6-2	DDX17_MOUSE	10	26.5	9.5e-8	46364.7	MOUSE	Isoform 2 of Probable ATP-dependent RNA helicase DDX17
[59-3]	6	Q62167	DDX3X_MOUSE	7	11.5	1.1e-9	73102.0	MOUSE	ATP-dependent RNA helicase DDX3X
[59-4]	5	P16381	DDX3L_MOUSE	6	10.0	1.1e-9	73141.2	MOUSE	Putative ATP-dependent RNA helicase Pl10
[59-5]	5	Q62095	DDX3Y_MOUSE	6	9.7	1.1e-9	73428.5	MOUSE	ATP-dependent RNA helicase DDX3Y
[60]		Q9QZQ8	H2AY_MOUSE	13	31.7	2.5e-9	39735.5	MOUSE	Core histone macro-H2A.1
[61]		Q9WVA4	TAGL2_MOUSE	15	52.3	5.2e-8	22395.6	MOUSE	Transgelin-2
[62]		P15864	H12_MOUSE	10	27.8	1.7e-10	21266.8	MOUSE	Histone H1.2
[62-1]	3	P43277	H13_MOUSE	10	24.9	9.3e-10	22099.7	MOUSE	Histone H1.3
[62-2]	5	P43274	H14_MOUSE	10	25.1	9.3e-10	21977.5	MOUSE	Histone H1.4
[62-3]	7	P43275	H11_MOUSE	8	30.0	2.7e-14	21785.3	MOUSE	Histone H1.1
[63]		O35737	HNRH1_MOUSE	10	21.6	2.8e-13	49199.9	MOUSE	Heterogeneous nuclear ribonucleoprotein H
[63-1]	3	P70333	HNRH2_MOUSE	7	15.8	1.0e-14	49280.0	MOUSE	Heterogeneous nuclear ribonucleoprotein H2
[63-2]	6	Q9Z2X1	HNRPF_MOUSE	9	24.1	4.7e-10	45730.3	MOUSE	Heterogeneous nuclear ribonucleoprotein F
[63-3]	6	Q9Z2X1-2	HNRPF_MOUSE	9	25.3	4.7e-10	43685.8	MOUSE	Isoform 2 of Heterogeneous nuclear ribonucleoprotein F
[64]		P24270	CATA_MOUSE	13	27.3	5.0e-9	59795.8	MOUSE	Catalase
[65]		P40142	TKT_MOUSE	16	21.2	5.0e-9	67631.1	MOUSE	Transketolase
[66]		Q61033	LAP2A_MOUSE	11	18.6	1.3e-8	75168.9	MOUSE	Lamina-associated polypeptide 2, isoforms alpha/zeta
[66-1]	3	Q61029	LAP2B_MOUSE	9	21.9	1.3e-8	50373.1	MOUSE	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma
[66-2]	3	Q61029-3	LAP2B_MOUSE	9	24.0	1.3e-8	46050.4	MOUSE	Isoform Epsilon of Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma
[66-3]	1	Q61029-2	LAP2B_MOUSE	7	18.7	1.3e-8	42650.7	MOUSE	Isoform Delta of Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma
[66-4]	1	Q61029-4	LAP2B_MOUSE	7	20.7	1.3e-8	38501.9	MOUSE	Isoform Gamma of Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma
[67]		O88569	ROA2_MOUSE	15	47.3	9.7e-10	37403.0	MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1
[67-1]	6	P49312	ROA1_MOUSE	7	26.2	6.7e-14	34196.5	MOUSE	Heterogeneous nuclear ribonucleoprotein A1
[67-2]	5	P49312-2	ROA1_MOUSE	6	25.4	3.1e-8	28897.9	MOUSE	Isoform Short of Heterogeneous nuclear ribonucleoprotein A1
[68]		P52480	KPYM_MOUSE	15	27.1	1.9e-7	57845.4	MOUSE	Pyruvate kinase PKM
[68-1]	1	P53657	KPYR_MOUSE	2	4.7	1.4e-6	62309.2	MOUSE	Pyruvate kinase PKLR
[69]		P41245	MMP9_MOUSE	11	14.5	1.7e-14	80536.1	MOUSE	Matrix metalloproteinase-9
[70]		Q922B2	SYDC_MOUSE	16	31.7	1.6e-8	57147.7	MOUSE	Aspartate--tRNA ligase, cytoplasmic
[71]		P10853	H2B1F_MOUSE	12	35.7	1.7e-10	13936.3	MOUSE	Histone H2B type 1-F/J/L
[71-1]	2	Q64524	H2B2E_MOUSE	11	35.7	1.7e-10	13993.4	MOUSE	Histone H2B type 2-E
[71-2]	2	Q8CGP0	H2B3B_MOUSE	11	35.7	1.7e-10	13908.2	MOUSE	Histone H2B type 3-B
[71-3]	2	Q9D2U9	H2B3A_MOUSE	11	35.7	1.7e-10	13994.3	MOUSE	Histone H2B type 3-A
[72]		Q60605	MYL6_MOUSE	12	47.7	3.8e-8	16930.2	MOUSE	Myosin light polypeptide 6
[72-1]	6	P05977	MYL1_MOUSE	12	47.3	3.8e-8	20594.7	MOUSE	Myosin light chain 1/3, skeletal muscle isoform
[72-2]	5	P05977-2	MYL1_MOUSE	11	46.0	3.8e-8	16599.9	MOUSE	Isoform MLC3 of Myosin light chain 1/3, skeletal muscle isoform
[72-3]	4	P09542	MYL3_MOUSE	10	34.8	3.8e-8	22421.8	MOUSE	Myosin light chain 3
[73]		P06745	G6PI_MOUSE	11	21.3	3.9e-11	62767.5	MOUSE	Glucose-6-phosphate isomerase
[74]		P97311	MCM6_MOUSE	13	17.4	4.2e-8	92867.9	MOUSE	DNA replication licensing factor MCM6
[75]		Q61881	MCM7_MOUSE	14	22.5	1.0e-8	81211.5	MOUSE	DNA replication licensing factor MCM7
[76]		Q99JY9	ARP3_MOUSE	11	25.6	2.9e-14	47357.6	MOUSE	Actin-related protein 3
[77]		Q91YQ5	RPN1_MOUSE	14	22.7	4.6e-7	68528.9	MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
[78]		P30681	HMGB2_MOUSE	12	41.4	1.9e-7	24162.1	MOUSE	High mobility group protein B2
[78-1]	10	P63158	HMGB1_MOUSE	11	35.8	6.2e-13	24894.0	MOUSE	High mobility group protein B1
[79]		Q9D8E6	RL4_MOUSE	15	26.7	1.3e-10	47154.1	MOUSE	60S ribosomal protein L4
[80]		P38647	GRP75_MOUSE	13	21.9	2.4e-8	73461.9	MOUSE	Stress-70 protein, mitochondrial
[81]		Q9WV32	ARC1B_MOUSE	11	26.6	5.1e-11	41064.3	MOUSE	Actin-related protein 2/3 complex subunit 1B
[82]		O89053	COR1A_MOUSE	11	26.2	1.6e-12	50989.6	MOUSE	Coronin-1A
[83]		Q8VIJ6	SFPQ_MOUSE	12	22.7	2.9e-11	75442.3	MOUSE	Splicing factor, proline- and glutamine-rich
[84]		Q99KI0	ACON_MOUSE	13	20.5	1.3e-11	85464.2	MOUSE	Aconitate hydratase, mitochondrial
[85]		Q6PDQ2	CHD4_MOUSE	14	9.3	2.2e-9	217752.9	MOUSE	Chromodomain-helicase-DNA-binding protein 4
[86]		Q8BJ71	NUP93_MOUSE	10	13.6	1.6e-14	93281.9	MOUSE	Nuclear pore complex protein Nup93
[87]		Q02053	UBA1_MOUSE	13	14.0	2.3e-7	117810.0	MOUSE	Ubiquitin-like modifier-activating enzyme 1
[88]		Q9CWK8	SNX2_MOUSE	11	24.9	5.2e-12	58471.6	MOUSE	Sorting nexin-2
[88-1]	6	Q9WV80	SNX1_MOUSE	7	11.9	1.8e-5	58952.7	MOUSE	Sorting nexin-1
[89]		Q8C3J5	DOCK2_MOUSE	15	8.5	2.6e-8	211705.9	MOUSE	Dedicator of cytokinesis protein 2
[90]		P14824	ANXA6_MOUSE	13	20.8	4.4e-12	75886.0	MOUSE	Annexin A6
[91]		P21107-2	TPM3_MOUSE	11	34.7	1.1e-10	29020.9	MOUSE	Isoform 2 of Tropomyosin alpha-3 chain
[91-1]	8	P58771	TPM1_MOUSE	11	33.8	6.3e-8	32680.8	MOUSE	Tropomyosin alpha-1 chain
[91-2]	8	P58771-2	TPM1_MOUSE	11	33.8	6.3e-8	32708.9	MOUSE	Isoform 2 of Tropomyosin alpha-1 chain
[91-3]	8	P58774	TPM2_MOUSE	10	29.6	6.3e-8	32837.0	MOUSE	Tropomyosin beta chain
[91-4]	6	P58774-2	TPM2_MOUSE	8	22.2	6.3e-8	32958.0	MOUSE	Isoform 2 of Tropomyosin beta chain
[91-5]	5	Q6IRU2	TPM4_MOUSE	6	22.2	3.6e-10	28468.0	MOUSE	Tropomyosin alpha-4 chain
[91-6]	1	P21107	TPM3_MOUSE	6	18.6	4.0e-7	32994.3	MOUSE	Tropomyosin alpha-3 chain
[92]		Q9CY58	PAIRB_MOUSE	10	25.6	5.6e-10	44714.5	MOUSE	Plasminogen activator inhibitor 1 RNA-binding protein
[93]		P56480	ATPB_MOUSE	11	21.6	1.2e-8	56301.0	MOUSE	ATP synthase subunit beta, mitochondrial
[94]		P80314	TCPB_MOUSE	12	21.5	6.9e-13	57477.7	MOUSE	T-complex protein 1 subunit beta
[95]		P08752	GNAI2_MOUSE	9	26.2	1.7e-15	40489.3	MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2
[95-1]	3	Q9DC51	GNAI3_MOUSE	6	18.6	5.4e-8	40538.5	MOUSE	Guanine nucleotide-binding protein G(k) subunit alpha
[95-2]	1	P63094	GNAS2_MOUSE	2	6.9	2.7e-8	45664.0	MOUSE	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
[95-3]	1	P63094-2	GNAS2_MOUSE	2	7.1	2.7e-8	44265.6	MOUSE	Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
[95-4]	1	Q6R0H7	GNAS1_MOUSE	2	2.4	2.7e-8	121506.2	MOUSE	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
[95-5]	1	Q6R0H7-4	GNAS1_MOUSE	2	2.4	2.7e-8	120107.8	MOUSE	Isoform XLas-4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
[95-6]	1	P27601	GNA13_MOUSE	2	6.1	6.5e-6	44055.0	MOUSE	Guanine nucleotide-binding protein subunit alpha-13
[96]		Q922D8	C1TC_MOUSE	10	12.8	2.0e-8	101200.4	MOUSE	C-1-tetrahydrofolate synthase, cytoplasmic
[97]		Q60710	SAMH1_MOUSE	14	18.5	1.2e-7	72651.0	MOUSE	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1
[98]		Q6A026	PDS5A_MOUSE	11	11.6	3.1e-10	150328.9	MOUSE	Sister chromatid cohesion protein PDS5 homolog A
[99]		Q60932	VDAC1_MOUSE	8	29.1	1.8e-12	32351.7	MOUSE	Voltage-dependent anion-selective channel protein 1
[99-1]	4	Q60931	VDAC3_MOUSE	5	16.3	4.3e-6	30753.0	MOUSE	Voltage-dependent anion-selective channel protein 3
[100]		P17751	TPIS_MOUSE	10	36.5	4.1e-8	32192.1	MOUSE	Triosephosphate isomerase
[101]		P17742	PPIA_MOUSE	11	32.3	3.0e-10	17971.5	MOUSE	Peptidyl-prolyl cis-trans isomerase A
[102]		Q61598	GDIB_MOUSE	10	25.2	9.5e-14	50537.6	MOUSE	Rab GDP dissociation inhibitor beta
[102-1]	3	P50396	GDIA_MOUSE	6	17.0	5.9e-9	50522.0	MOUSE	Rab GDP dissociation inhibitor alpha
[103]		Q64518	AT2A3_MOUSE	12	12.4	1.7e-8	113639.1	MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
[103-1]	6	O55143	AT2A2_MOUSE	10	10.3	1.7e-8	114859.1	MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
[103-2]	6	O55143-2	AT2A2_MOUSE	10	10.8	1.7e-8	109754.2	MOUSE	Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
[103-3]	9	Q8R429	AT2A1_MOUSE	11	12.0	8.8e-8	109426.5	MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
[104]		Q62351	TFR1_MOUSE	9	11.1	4.5e-15	85732.1	MOUSE	Transferrin receptor protein 1
[105]		P24369	PPIB_MOUSE	9	36.1	1.3e-8	23713.7	MOUSE	Peptidyl-prolyl cis-trans isomerase B
[106]		Q8VDN2	AT1A1_MOUSE	12	13.5	3.6e-8	112983.2	MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1
[107]		P04919	B3AT_MOUSE	10	13.1	1.7e-10	103136.4	MOUSE	Band 3 anion transport protein
[108]		P54071	IDHP_MOUSE	11	25.9	2.3e-8	50906.6	MOUSE	Isocitrate dehydrogenase [NADP], mitochondrial
[109]		P43276	H15_MOUSE	8	22.9	1.3e-9	22576.3	MOUSE	Histone H1.5
[110]		Q61316	HSP74_MOUSE	11	18.5	1.0e-11	94133.4	MOUSE	Heat shock 70 kDa protein 4
[111]		P12970	RL7A_MOUSE	10	28.6	9.8e-10	29976.8	MOUSE	60S ribosomal protein L7a
[112]		Q9DB77	QCR2_MOUSE	11	26.7	2.4e-8	48235.3	MOUSE	Cytochrome b-c1 complex subunit 2, mitochondrial
[113]		Q921I1	TRFE_MOUSE	13	21.1	2.2e-10	76724.6	MOUSE	Serotransferrin
[114]		P35550	FBRL_MOUSE	10	27.2	5.1e-9	34307.1	MOUSE	rRNA 2'-O-methyltransferase fibrillarin
[115]		Q3TRM8	HXK3_MOUSE	10	14.0	1.6e-8	100101.9	MOUSE	Hexokinase-3
[116]		Q03265	ATPA_MOUSE	11	20.6	3.3e-8	59753.1	MOUSE	ATP synthase subunit alpha, mitochondrial
[117]		P27659	RL3_MOUSE	9	22.3	8.7e-10	46110.3	MOUSE	60S ribosomal protein L3
[118]		Q8VBT6	APOBR_MOUSE	11	14.6	3.5e-8	102705.8	MOUSE	Apolipoprotein B receptor
